Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
95000.0,Aveiro,"Bustos, Troviscal e Mamarrosa",House,NC,1.0,1968.0,108.0,False,False,False,2.0,2.0,108.0,2.0,Centro
237500.0,Aveiro,Santa Maria de Lamas,House,D,0.0,1989.0,140.0,True,False,False,2.0,1.0,256.0,2.0,Norte
155000.0,Aveiro,Mozelos,Apartment,C,1.0,2003.0,90.0,False,True,False,2.0,0.0,90.0,2.0,Norte
214900.0,Aveiro,Mozelos,House,F,1.0,1959.0,128.0,False,False,False,2.0,0.0,111.0,0.0,Norte
210000.0,Aveiro,Aradas,Apartment,B-,0.0,2006.0,85.0,True,True,False,1.0,0.0,60.0,1.0,Centro
215000.0,Aveiro,"Mealhada, Ventosa do Bairro e Antes",Apartment,D,0.0,1998.0,119.0,True,True,False,2.0,0.0,119.0,0.0,Centro
295000.0,Aveiro,Aradas,House,B,1.0,2022.0,130.0,False,False,False,3.0,1.0,130.0,2.0,Centro
185000.0,Aveiro,Gafanha da Nazaré,Apartment,B-,0.0,2005.0,121.0,True,False,False,1.0,0.0,121.0,1.0,Centro
210000.0,Aveiro,Avanca,House,D,1.0,1960.0,105.0,True,False,False,3.0,2.0,105.0,4.0,Centro
285000.0,Aveiro,São Roque,Apartment,D,1.0,2010.0,186.0,False,False,False,3.0,2.0,153.0,2.0,Centro
90000.0,Aveiro,São João da Madeira,House,NC,0.0,1989.0,12.0,False,False,False,2.0,1.0,87.0,2.0,Norte
125000.0,Aveiro,São João da Madeira,Apartment,D,0.0,1995.0,64.0,False,False,False,2.0,1.0,64.0,2.0,Norte
390000.0,Aveiro,Ouca,House,NC,0.0,1986.0,240.0,True,False,False,5.0,5.0,240.0,5.0,Centro
537500.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,171.0,False,True,True,3.0,2.0,142.0,3.0,Centro
163000.0,Aveiro,Águeda e Borralha,Apartment,C,0.0,2017.0,89.0,True,True,False,2.0,1.0,89.0,1.0,Centro
87900.0,Aveiro,Luso,Apartment,F,0.0,1993.0,60.0,False,False,False,1.0,1.0,60.0,1.0,Centro
210000.0,Aveiro,Glória e Vera Cruz,Apartment,B-,0.0,2020.0,46.0,False,False,False,1.0,1.0,46.0,1.0,Centro
210000.0,Aveiro,Moita,House,C,0.0,2003.0,191.0,True,False,False,3.0,0.0,164.0,2.0,Centro
375000.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,121.0,False,True,True,2.0,2.0,96.0,2.0,Centro
370000.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,112.0,False,True,True,2.0,2.0,96.0,2.0,Centro
199000.0,Aveiro,Nogueira da Regedoura,House,E,1.0,1937.0,160.0,False,False,False,2.0,0.0,84.0,1.0,Norte
149000.0,Aveiro,Santa Maria de Lamas,Apartment,C,0.0,2003.0,115.0,True,True,False,3.0,0.0,99.0,2.0,Norte
392500.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,147.0,False,True,True,2.0,2.0,102.0,2.0,Centro
228000.0,Aveiro,Esgueira,House,NC,1.0,2024.0,285.0,False,False,True,4.0,1.0,273.0,3.0,Centro
419640.0,Aveiro,Glória e Vera Cruz,Apartment,B,1.0,2023.0,126.0,False,True,True,2.0,0.0,81.0,2.0,Centro
140000.0,Aveiro,Valongo do Vouga,House,E,0.0,1968.0,200.0,True,False,False,3.0,0.0,200.0,1.0,Centro
219900.0,Aveiro,São Roque,House,C,0.0,2003.0,175.0,True,False,True,3.0,2.0,175.0,4.0,Centro
260000.0,Aveiro,São João da Madeira,House,E,0.0,1982.0,128.0,True,True,False,3.0,1.0,128.0,2.0,Norte
99900.0,Aveiro,Albergaria-a-Velha e Valmaior,Apartment,D,0.0,1998.0,46.0,True,True,True,1.0,0.0,46.0,1.0,Centro
130000.0,Aveiro,Esgueira,House,NC,1.0,1951.0,145.0,False,False,False,2.0,1.0,110.0,1.0,Centro
314500.0,Aveiro,Sanguedo,House,C,0.0,2007.0,181.0,True,False,False,3.0,1.0,176.0,3.0,Norte
255000.0,Aveiro,"Bustos, Troviscal e Mamarrosa",House,NC,1.0,2006.0,245.0,False,False,False,4.0,2.0,190.0,5.0,Centro
149900.0,Aveiro,Nogueira da Regedoura,Apartment,D,0.0,1992.0,111.0,False,False,False,3.0,0.0,111.0,2.0,Norte
85000.0,Aveiro,São Lourenço do Bairro,House,F,1.0,1956.0,129.0,False,False,False,3.0,0.0,100.0,0.0,Centro
47000.0,Aveiro,Águeda e Borralha,House,NC,1.0,1957.0,48.0,False,False,False,2.0,1.0,64.0,1.0,Centro
760000.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,284.0,False,True,True,3.0,2.0,170.0,3.0,Centro
620000.0,Aveiro,Gafanha da Nazaré,Apartment,A,1.0,2024.0,222.0,False,True,True,3.0,2.0,134.0,3.0,Centro
190000.0,Aveiro,Sobrado e Bairros,Apartment,B,0.0,1994.0,188.0,True,False,False,5.0,3.0,186.0,3.0,Norte
78000.0,Aveiro,São Pedro de Castelões,House,F,0.0,1977.0,123.0,False,False,False,3.0,0.0,123.0,0.0,Centro
480000.0,Aveiro,Gafanha da Boa Hora,Apartment,B-,1.0,2024.0,132.0,False,True,False,3.0,1.0,107.0,4.0,Centro
749900.0,Aveiro,Fiães,House,A+,0.0,2018.0,275.0,True,False,True,4.0,1.0,275.0,4.0,Norte
82000.0,Aveiro,"Tamengos, Aguim e Óis do Bairro",Apartment,D,1.0,1987.0,40.0,False,True,True,0.0,1.0,40.0,2.0,Centro
229000.0,Aveiro,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Apartment,C,1.0,2003.0,107.0,False,True,False,2.0,1.0,130.0,2.0,Norte
189000.0,Aveiro,São João da Madeira,Apartment,E,1.0,2000.0,142.0,False,True,False,2.0,1.0,142.0,3.0,Norte
270000.0,Aveiro,Argoncilhe,Apartment,C,0.0,2005.0,130.0,True,True,False,4.0,1.0,130.0,3.0,Norte
49500.0,Aveiro,Macieira de Cambra,House,NC,1.0,1951.0,63.0,False,False,False,3.0,1.0,198.0,1.0,Centro
60000.0,Aveiro,Macieira de Cambra,House,E,1.0,1937.0,195.0,False,False,False,5.0,2.0,139.0,2.0,Centro
95000.0,Aveiro,Oliveira do Bairro,House,NC,0.0,1968.0,150.0,False,False,False,2.0,1.0,58.0,1.0,Centro
340000.0,Aveiro,Fornos,House,D,1.0,2006.0,158.0,False,False,False,3.0,1.0,158.0,3.0,Norte
549000.0,Aveiro,Fiães,House,A+,1.0,2013.0,188.0,True,False,False,3.0,2.0,188.0,4.0,Norte
